                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.61317,                0.80263,                 0.8998,                0.99561,                0.84211,                0.84546,                0.76249,                 0.5473,                 1.2131,                0.94896,               0.000614,               0.000614,               0.000614
                     37,                0.62748,                0.84804,                0.92964,                0.99561,                0.84211,                0.84546,                0.76249,                 0.5473,                 1.2131,                0.94896,              0.0005744,              0.0005744,              0.0005744
                     38,                0.56775,                0.78539,                0.95724,                 0.9954,                0.84211,                0.84558,                0.78115,                0.57047,                 1.2011,                0.95622,              0.0005348,              0.0005348,              0.0005348
                     39,                  0.608,                0.74838,                0.92187,                0.99593,                0.84211,                0.86708,                0.80434,                0.52095,                 1.1214,                0.92482,              0.0004952,              0.0004952,              0.0004952
                     40,                0.64075,                0.79867,                0.95354,                0.99643,                0.84211,                0.87043,                0.79091,                0.53807,                 1.0005,                0.92853,              0.0004556,              0.0004556,              0.0004556
                     41,                 0.4535,                0.94814,                0.87033,                0.99643,                0.84211,                0.87043,                0.79091,                0.53807,                 1.0005,                0.92853,               0.000416,               0.000416,               0.000416
                     42,                0.50097,                0.93893,                0.88955,                0.99659,                0.84211,                0.87814,                0.78208,                0.54401,                0.94648,                0.91544,              0.0003764,              0.0003764,              0.0003764
                     43,                0.47846,                0.89397,                0.91481,                0.99655,                0.84211,                0.84948,                0.76966,                0.51528,                0.92072,                0.90915,              0.0003368,              0.0003368,              0.0003368
                     44,                0.44137,                0.88252,                0.86861,                0.99656,                0.84211,                0.85177,                0.75632,                0.52024,                0.89946,                 0.9194,              0.0002972,              0.0002972,              0.0002972
                     45,                0.44796,                0.88104,                0.86946,                0.99656,                0.84211,                0.85177,                0.75632,                0.52024,                0.89946,                 0.9194,              0.0002576,              0.0002576,              0.0002576
                     46,                0.47525,                0.89538,                0.85082,                0.99666,                0.84211,                0.85248,                 0.7697,                0.51658,                0.88803,                0.92236,               0.000218,               0.000218,               0.000218
                     47,                0.46186,                0.88825,                0.87441,                0.99662,                0.84211,                0.85666,                0.77599,                0.51932,                0.88583,                0.92943,              0.0001784,              0.0001784,              0.0001784
                     48,                0.43136,                0.86471,                0.83852,                 0.9966,                0.84211,                0.86261,                0.78799,                0.49452,                0.88162,                0.92113,              0.0001388,              0.0001388,              0.0001388
                     49,                0.40687,                0.89233,                0.89379,                 0.9966,                0.84211,                0.86261,                0.78799,                0.49452,                0.88162,                0.92113,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.40749,                0.86238,                0.84223,                0.99657,                0.84211,                0.86537,                0.78995,                0.49116,                0.88642,                0.92149,               5.96e-05,               5.96e-05,               5.96e-05
